date,quiz,score
2022-09-17 14:31:39,ITIL MC.csv,29/40
2022-09-17 18:33:20,ITIL MC.csv,5/5
2022-09-18 10:04:01,ITIL MCv2.csv,31/40
2022-09-18 10:25:24,ITIL MC.csv,34/40
2022-09-18 19:21:35,ITIL Test7.csv,24/40
2022-09-18 19:23:16,ITIL Test7.csv,4/5
2022-09-18 19:25:40,ITIL Test7.csv,3/4
2022-09-18 19:45:32,ITIL Test7.csv,32/40
2022-09-19 16:32:37,ITIL Test9.csv,22/40
